dbn,school_name,building_ids
07X369,Young Leaders Elementary School,X040
07X379,Jill Chaifetz Transfer High School,X184
07X381,Bronx Haven High School,X600
07X427,Community School for Social Justice,X884
07X473,Mott Haven Village Preparatory High School,X470
07X495,University Heights Secondary School,X470
07X500,Hostos-Lincoln Academy of Science,X162
07X522,Bronx Design and Construction Academy,X600
07X527,Bronx Leadership Academy II High School,X790
07X548,Careers in Sports High School,X790
07X551,The Urban Assembly Bronx Academy of Letters,X183
07X557,Mott Haven Community High School,X655
07X584,I.S. 584,X162
07X600,Alfred E. Smith Career and Technical Education High School,X600
07X625,Walkabout Bronx High School,X790
07X670,Health Opportunities High School,X884
08X075,P.S. 75 School of Research and Discovery,X075
08X093,P.S. 093 Albert G. Oliver,X093
08X101,M.S. X101 Edward R. Byrne,X101
08X107,P.S. 107,X107
08X119,The Dr. Emmett W. Bassett School,"X119, X125"
08X123,J.H.S. 123 James M. Kieran,X123
08X131,J.H.S. 131 Albert Einstein,X131
08X140,P.S. X140 The Eagle School,X140
08X146,P.S. 146 Edward Collins,X146
08X282,Women's Academy of Excellence,X174
08X293,Renaissance High School for Musical Theater and the Arts,X405
08X301,M.S. 301 Paul L. Dunbar,X120
08X302,M.S. 302 Luisa Dessus Cruz,X052
08X304,P.S. 304 Early Childhood School,X101
08X312,Millennium Art Academy,X450
08X320,Pelham Lab High School,X405
08X333,The Longwood Academy of Discovery,X060
08X337,The School for Inquiry and Social Justice,X123
08X348,Schuylerville Preparatory High School,X405
08X349,Bronx River High School,X405
08X367,"Archimedes Academy for Math, Science and Technology Applications",X174
08X371,Urban Institute of Mathematics,X192
08X375,The Bronx Mathematics Preparatory School,X174
08X376,Antonia Pantoja Preparatory Academy: A College Board School,X450
08X377,Bronx Community High School,X450
08X392,Bronx Delta School,X192
08X405,Herbert H. Lehman High School,X405
08X424,Bronx Academy for Multi-Media,X074
08X432,Bronx Bridges High School,X450
08X448,Soundview Academy for Culture and Scholarship,X131
08X452,Gotham Collaborative High School,X450
08X467,Mott Hall Community School,X192
08X530,Longwood Preparatory Academy,X039
08X537,Bronx Arena High School,X972
